id,type,clicked_at
07bff405-ac08-4caf-9abb-9a2ad89c636b,loan_contact,2026-03-26 18:21:01.778998+00
11a1da90-250e-4c71-9689-dc7c78630481,facebook,2026-03-29 19:21:01.778998+00
1229f9d5-6002-429b-ad29-9d810cea9328,loan_contact,2026-03-29 01:21:01.778998+00
1965eeca-4a33-4e0c-9d48-f0e21d6484ef,line,2026-03-28 03:21:01.778998+00
1be66b5a-16e2-4c12-9b6b-b96262962d84,line,2026-03-29 17:21:01.778998+00
1c2e3313-9c59-4033-bd98-1de5bcccde35,line,2026-03-26 22:21:01.778998+00
2276ddd3-7305-43fd-9d9c-36fbb9c95605,line,2026-04-03 03:44:39.279563+00
232074df-6fae-426b-ab13-1abeabd98fe4,loan_contact,2026-04-03 03:02:09.88971+00
2509c242-b815-4012-8d96-7fcbddaf7877,facebook,2026-03-25 23:21:01.778998+00
2b91b54d-e204-48e1-a201-e652c9ac8d09,facebook,2026-03-26 17:21:01.778998+00
33f058b8-3b36-4fc6-a207-654a119c4457,facebook,2026-03-24 17:21:01.778998+00
373d2345-b2fe-4d5e-b7be-1b0c9f795f04,facebook,2026-03-27 21:21:01.778998+00
3826090e-a921-40cb-95dd-f43b3373e008,facebook,2026-05-23 15:39:15.697948+00
39f744be-d223-4734-af9d-c2ea3445ffaa,facebook,2026-05-23 15:38:27.797027+00
3a959219-7649-4933-b922-95c23fd622af,line,2026-03-29 21:21:01.778998+00
3e1428ba-bcc7-44fc-924c-ffc31e858928,line,2026-03-27 23:21:01.778998+00
400361ab-22bb-4d04-841a-ca548d0f8296,loan_contact,2026-03-25 21:21:01.778998+00
4b02a98c-dc72-4e93-aa42-c27bc8ea7332,facebook,2026-03-28 02:21:01.778998+00
5210b688-d868-4a30-b23b-d8570b2a280a,loan_contact,2026-04-22 05:47:32.537688+00
53549989-bdcf-4416-8c0b-4e9b7b8374ca,facebook,2026-03-27 16:21:01.778998+00
53cf6f00-f2e0-4dbc-bca7-3b3c76cb351e,loan_contact,2026-03-30 06:51:01.778998+00
545a21e8-7da5-4e19-b97b-11497945d263,loan_contact,2026-04-09 08:44:45.883631+00
549f7511-869c-47b2-b0f8-94e8f75b72a3,line,2026-03-27 10:06:56.037071+00
5835f6f2-e552-4b41-9b8d-8b9971a77159,line,2026-03-24 22:21:01.778998+00
5ced6e0a-9b80-4f2c-9b7f-cfb6311223a2,line,2026-03-28 18:21:01.778998+00
5d15681a-0b89-4b7f-bfa8-e6ce70887e46,line,2026-05-30 05:40:02.650685+00
5d45a354-e5f6-4e8d-b3c3-57c90838cbbd,loan_contact,2026-03-28 19:21:01.778998+00
5d71df01-a08f-4abb-b1df-b8a342243e97,loan_contact,2026-04-03 03:05:18.661539+00
6049d899-dd1e-4de1-9a35-34220e9a01b0,facebook,2026-03-29 22:21:01.778998+00
62f25687-37c6-43d1-bf3b-92822d10d449,facebook,2026-04-03 04:03:19.14642+00
65345ccb-0bf0-4f74-ac42-ac3a595f0314,facebook,2026-05-21 01:45:59.756084+00
674d8565-d5dc-4384-ade0-30c2bf3c9a30,line,2026-05-23 10:46:01.418459+00
6a71630c-9ea2-477f-896e-5012b3a2b954,line,2026-05-22 10:36:02.201433+00
6c2e1b75-45ee-46ce-83c6-2941ef48f567,facebook,2026-03-28 17:21:01.778998+00
6da519c3-5214-484e-8b34-5d15612855a6,loan_contact,2026-04-29 08:20:59.550321+00
746af257-b03b-42ae-920f-827bcd043489,loan_contact,2026-03-27 00:21:01.778998+00
751c6afc-277c-4c5b-83fc-699d63480522,line,2026-03-30 01:21:01.778998+00
77153591-574d-41ce-8967-e53b02745309,facebook,2026-05-18 08:21:24.100471+00
7c501594-87c7-4d82-86cc-456ed7598bbc,facebook,2026-04-05 11:46:59.114439+00
7e1d89ee-6f63-4fef-99ff-f42a4d3d8abb,line,2026-03-29 00:21:01.778998+00
8046a4a9-a564-49ab-9912-364c2b03a78b,loan_contact,2026-03-25 00:21:01.778998+00
808eef23-51cd-417a-b108-6771543ba544,line,2026-05-28 11:18:51.7052+00
836400ea-c926-406c-89b2-76a3b94fb075,facebook,2026-05-23 15:38:58.99057+00
84e9e78a-eba8-42ce-beac-c27393950a02,loan_contact,2026-05-18 07:46:27.094662+00
850bdf27-7945-4d1f-b6f8-90ac4aabe81a,facebook,2026-03-30 07:21:01.778998+00
8911f6ba-98c8-4f09-b065-eb48474805dc,facebook,2026-03-24 19:21:01.778998+00
89704734-776a-4a88-86e7-d337b98ebfad,facebook,2026-03-29 16:21:01.778998+00
8a2d30a2-205e-4efe-aad2-a8f9617a33d5,facebook,2026-03-28 20:21:01.778998+00
8eb12b06-1d7e-47fa-8a17-05e35e4deafb,loan_contact,2026-05-18 07:28:15.093632+00
9612354f-603b-4cb5-bb48-48204be6dfc3,facebook,2026-03-30 03:21:01.778998+00
98c34b55-cca5-48e7-8b28-7700ba34e828,loan_contact,2026-04-07 05:12:52.884834+00
99293195-7ce7-45bc-8021-b65055b5eb4e,facebook,2026-05-23 15:39:11.374359+00
9944d3a0-6c82-4958-aa08-0f650a9119bb,loan_contact,2026-03-29 18:21:01.778998+00
9e00676d-cc6f-48c2-9209-d71be7459953,loan_contact,2026-04-09 08:44:35.21661+00
a29cba66-7d67-491d-8d39-132bb4ee8646,loan_contact,2026-05-13 02:11:44.699926+00
a516094c-11fa-42b8-97bd-de9931f816bc,facebook,2026-03-27 18:21:01.778998+00
a5d84764-7cec-4038-ab7b-036e07ef660c,line,2026-05-18 08:21:31.523686+00
a5e498fa-4152-4e56-bac4-01b6d3457dec,facebook,2026-05-28 15:57:21.241584+00
a77584e2-89ff-4ec1-90cb-4f5fb1a9b2a3,line,2026-03-26 01:21:01.778998+00
aad47d28-335b-4837-9143-4ddac7868c56,line,2026-05-28 15:57:05.093728+00
b69a2f20-181f-4db5-82dc-078963cfbec2,facebook,2026-03-25 16:21:01.778998+00
bd06c784-6895-4ab6-aaaa-76ced11b06c6,loan_contact,2026-04-22 07:14:53.237732+00
be5bb0a8-d654-4ffc-ae86-2617a45c1f5c,line,2026-03-25 20:21:01.778998+00
bf367970-9e60-4472-b0fa-cf23a0a1f3f4,loan_contact,2026-04-10 04:55:01.761248+00
c21c8627-800b-40c6-813f-6eaa53123fe2,loan_contact,2026-04-20 10:44:25.933657+00
c268f9df-889a-4bdd-b949-deee7c33c4ea,facebook,2026-03-25 18:21:01.778998+00
c54ec1c0-f13c-410d-aecd-d98461f56ff7,loan_contact,2026-04-09 08:44:53.734416+00
c8992856-f82b-4108-b6c0-42faf4f67c29,line,2026-04-03 03:34:05.837056+00
d25c8cd5-d280-4e81-84d5-1e79140be8b4,facebook,2026-04-03 03:44:41.889332+00
d39326bd-f79c-4928-b267-7fcada39dd18,loan_contact,2026-03-29 23:21:01.778998+00
dc84a686-5bae-4237-8d29-4b6e13cc93e9,line,2026-04-02 03:24:45.614709+00
dcf6b500-cac5-43d3-96c1-4ec9fa5b4bac,line,2026-03-30 07:51:01.778998+00
df1915d1-169b-4fc9-a3ae-6e463e639cab,loan_contact,2026-04-07 05:12:51.047681+00
e10885e6-2aa4-4f5c-8035-fc6c5a369fda,line,2026-03-27 19:21:01.778998+00
e960e000-07f5-43c2-9aca-5c99a5f501d5,facebook,2026-03-30 00:21:01.778998+00
ebe50e3f-7d5e-4ed0-8dca-5f250f67a975,line,2026-03-26 19:21:01.778998+00
ed464aa9-f1ae-46c3-a666-487d008ddaea,facebook,2026-03-30 06:21:01.778998+00
ed7ad383-df57-4abe-9ef3-400aaab076da,loan_contact,2026-03-27 22:21:01.778998+00
eeca3fc7-98b7-4ae1-a769-a579770255d5,line,2026-03-30 05:21:01.778998+00
f9bd7647-4625-45b3-af9a-849db1d13dd9,loan_contact,2026-04-03 07:28:45.695067+00
fa90235d-8e86-4b45-9914-e254a2bec5cc,loan_contact,2026-04-03 07:30:03.842743+00
fbe8a9e8-f8f5-4c96-9f6f-6494a003201c,line,2026-04-03 03:44:33.940317+00
