id,year,title,description,image_url,sort_order,created_at,updated_at
2dbc7298-c199-4e1a-8c99-46cd7ad5d620,1999,Palmsprings Townhome,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015250415-f4nqlamp03b.jpg,3,2026-04-01 03:47:43.865228+00,2026-04-01 03:47:43.865228+00
35723abe-a6f1-4982-b8bc-823c5c5163df,2018,Palmsprings Privato,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016741042-etl6bj34x9w.jpg,14,2026-04-01 04:12:27.073004+00,2026-04-01 04:12:27.073004+00
3b7070a2-5b56-46d7-b105-b9e4d0495217,2006,Palmsprings Plaza,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015293927-h9bwwc8r42b.jpg,4,2026-04-01 03:48:15.752967+00,2026-04-01 03:48:15.752967+00
3b737566-ff51-46a6-bc74-d9923d5d27b5,1994,Palmsprings Garden Home,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015097277-1ii6rgvsu9q.jpg,1,2026-04-01 03:45:21.985967+00,2026-04-01 03:45:21.985967+00
5c1a26ff-af14-4481-9a18-7278bf7e4940,1989,Palmsprings Place,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775014997592-w1qp89xe41h.jpg,0,2026-04-01 03:43:45.857523+00,2026-04-01 03:43:45.857523+00
6b1f2b98-0293-4c25-b15a-93f87ab517a6,2013,The Urbana3,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016387371-aqey6jj9tfq.jpg,10,2026-04-01 04:06:48.362073+00,2026-04-01 04:06:48.362073+00
6b547d75-9c78-4f0e-8e87-0d29534e6b69,2014,The Urbana5,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016674404-ic6gvaon3so.jpg,13,2026-04-01 04:11:30.084735+00,2026-04-01 04:11:30.084735+00
76ce1da4-e17c-41d7-a5ec-b499859e3a51,2013,The Urbana4,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016532196-a43fskbuy36.jpg,11,2026-04-01 04:08:59.832532+00,2026-04-01 04:08:59.832532+00
8013dabb-d137-4e9e-b4a3-42bb11c6f5df,"2020 ",Palm Ville Chotana,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016863999-0q24ljsbxo4f.jpg,16,2026-04-01 04:14:31.636355+00,2026-04-01 04:14:31.636355+00
81a93df9-2ea9-4f3c-b517-b00483561ecb,2007,Palmsprings Country Home,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1777430250301-50juy8yzw4i.png,5,2026-04-01 03:52:33.971303+00,2026-04-01 03:52:33.971303+00
862236d3-2c9f-4bdd-9b81-4db50542ac71,2013,The Nimman,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016315169-0f1aksn2hca8.jpg,9,2026-04-01 04:02:27.927856+00,2026-04-01 04:02:27.927856+00
8ce6acd3-f518-421b-84ff-1c646bd55264,2013,Palmsprings Nimman,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016584514-qsee5xk2b28.jpg,12,2026-04-01 04:09:59.534616+00,2026-04-01 04:09:59.534616+00
9d1ec889-ad1e-4e00-ab12-ba3aa3c46a03,2018,The Urbana6,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016790816-9ijlvnfcgzq.jpg,15,2026-04-01 04:13:21.473278+00,2026-04-01 04:13:21.473278+00
aedf8f84-4ba9-49ea-99f1-98e3209943b8,2021,"Palm Ville Sankamphaeng ",,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016896624-wdo9ps8551o.jpg,17,2026-04-01 04:15:01.967808+00,2026-04-01 04:15:01.967808+00
ba986409-9b32-49c3-b75a-a47f75b8f614,1996,Palm Villa,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015181165-0nkc1rq080v.JPG,2,2026-04-01 03:46:36.335155+00,2026-04-01 03:46:36.335155+00
bbaef114-27e1-4251-b433-9e70afe939ca,2009,The Urbana1,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015599530-5g8wdpm59mm.JPG,6,2026-04-01 03:53:27.899586+00,2026-04-01 03:53:27.899586+00
c57c0bae-9b48-4eee-ab73-3b351137eac9,2010,The Urbana Plaza,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775015676891-29qh4nmz0pl.JPG,7,2026-04-01 03:56:58.369693+00,2026-04-01 03:56:58.369693+00
dac8fd42-457d-4e94-9596-a280a4caa59f,2013,The Urbana2,,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/milestone-images/1775016226849-nc8gepkc23c.jpg,8,2026-04-01 04:01:46.901278+00,2026-04-01 04:01:46.901278+00
